,Product_Name,Product_Details,Price
0,Water Dispenser,Haier Thermocool Water Dispenser HD-1233BD,"₦72,760.00"
1,Water Dispenser,TEC Water Dispenser STOR C/H 85C,"₦58,850.00"
2,Water Dispenser,TEC Water Dispenser Ref C/H 808BD,"₦72,974.00"
3,Generators,Thermcool Big Boy Max Generator Remote with ATS 4400Rs 4.4KVA,"₦215,550.00"
4,Refrigerator,Single Door Small Refrigerator HR-134- white,"₦57,780.00"
5,Refrigerator,Single Door Medium Refrigerator HR-177 (Silver) R6,"₦104,860.00"
6,Refrigerator,HRF-95 Refrigerator,"₦95,123.00"
7,Refrigerator,HRF-200 LUX Refrigerator,"₦176,550.00"
8,Generators,Thermocool Tec Bobo Max Electric Generator -2.5kva -2.2 Kw – 2.5kva with Push Start Button,"₦123,050.00"
9,Generators,Thermocool Generator – 3.0kw/3.3kw – Hustler Max 3500 Manual Start,"₦130,540.00"
10,Generators,Thermcool Big Boy Max Generator Remote with ATS 4400Rs 4.4KVA,"₦215,550.00"
11,Generators,TEC Petrol Generator SMALLIE 1000MS (1kVA/0.8kW) – Gas Generators – Energy,"₦51,922.00"
12,Washing Machine,HT Washmachine Topload-Wash 6KG Pink,"₦460,100.00"
13,Washing Machine,Haier Thermocool Haier Thermocool Front Load Washing Machine (10.2kg),"₦187,250.00"
14,Washing Machine,Haier Thermocool Front Load Washing Machine (8.5Kg) HW60 12829,"₦249,999.00"
15,Washing Machine,Haier Thermocool Front Load Washing Machine (7Kg) HW60 12829,"₦171,200.00"
